T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00256,0.00214,0.00205,0.00244,0.00358,0.0031,0.00259,0.00177,0.00333,0.00255,0.00243,0.00319,0.00313,0.00141,0.00282,0.0029,0.00272,0.00246,0.00199,0.00284,0.00256,0.00263,0.0019,0.00181,0.00282,0.00257,0.0033,0.00319,0.00355,0.00442,0.00378,0.00309
0.00265,0.00245,0.00266,0.00403,0.00363,0.00396,0.00305,0.00163,0.00364,0.00346,0.00423,0.00356,0.00413,0.00135,0.0039,0.00244,0.00301,0.00275,0.00236,0.00349,0.00271,0.00288,0.00197,0.00163,0.00304,0.00283,0.00341,0.00371,0.00348,0.00418,0.00334,0.00321
0.00321,0.00258,0.00266,0.00373,0.00357,0.0042,0.00294,0.00135,0.00365,0.00306,0.00428,0.00413,0.00408,0.00149,0.00397,0.00181,0.00366,0.00286,0.00248,0.00328,0.00277,0.00293,0.00198,0.00193,0.00299,0.00276,0.0035,0.00308,0.00353,0.00408,0.00375,0.00311
0.0028,0.00262,0.00229,0.00325,0.0033,0.00377,0.0031,0.00078,0.00326,0.00295,0.00337,0.00385,0.00427,0.00121,0.00404,0.00279,0.00274,0.00251,0.00203,0.00302,0.00265,0.00259,0.00157,0.00143,0.00307,0.00248,0.00302,0.00318,0.00318,0.0039,0.00375,0.00316
0.00336,0.00279,0.00201,0.00327,0.00308,0.00352,0.00255,0.00122,0.00347,0.00266,0.00336,0.00324,0.00415,0.00093,0.00395,0.00272,0.0031,0.00263,0.00192,0.00327,0.00275,0.00208,0.00182,0.00148,0.003,0.00279,0.00293,0.00359,0.00339,0.00382,0.00353,0.00319
0.00362,0.00262,0.00235,0.00349,0.00368,0.00321,0.00269,0.00079,0.00383,0.00292,0.00378,0.00394,0.00338,0.00105,0.00373,0.00292,0.00276,0.00277,0.00184,0.00358,0.00256,0.00242,0.00185,0.00152,0.00303,0.00281,0.00327,0.00371,0.00337,0.00383,0.00381,0.00317
0.0026,0.00263,0.00208,0.00305,0.00316,0.00303,0.00251,0.00211,0.00328,0.00297,0.00358,0.00345,0.0037,0.00159,0.00416,0.0021,0.00296,0.00298,0.00223,0.00323,0.00313,0.00245,0.00191,0.00084,0.00266,0.00256,0.00327,0.0036,0.00325,0.0038,0.0037,0.00293
0.00306,0.00282,0.00212,0.00331,0.00294,0.00321,0.00211,0.00179,0.00347,0.00264,0.00328,0.00362,0.00348,0.00142,0.00438,0.00305,0.00309,0.003,0.00206,0.00309,0.00313,0.00285,0.00191,0.00156,0.00328,0.00291,0.00343,0.0038,0.00299,0.00336,0.0035,0.00295
0.00358,0.00258,0.00249,0.00375,0.00344,0.00316,0.0023,0.00211,0.00359,0.00224,0.00389,0.00384,0.00399,0.0013,0.00383,0.00314,0.00255,0.00285,0.00195,0.00362,0.00315,0.00308,0.00246,0.0018,0.00354,0.003,0.00373,0.00385,0.00311,0.0035,0.00398,0.00307
0.00276,0.00284,0.0022,0.00285,0.00272,0.00351,0.00258,0.00196,0.00361,0.00243,0.00339,0.0032,0.0035,0.00171,0.00359,0.00331,0.00167,0.00281,0.00207,0.00346,0.00262,0.00278,0.00191,0.00197,0.00345,0.00286,0.00316,0.00365,0.00317,0.00346,0.00382,0.00291
0.00367,0.00292,0.00223,0.00339,0.00283,0.00312,0.00216,0.00181,0.00329,0.00294,0.00382,0.00331,0.00352,0.00182,0.00358,0.00368,0.00305,0.0026,0.00202,0.00353,0.00274,0.00314,0.00238,0.00219,0.00359,0.00305,0.0038,0.00362,0.00347,0.00354,0.00358,0.00282
0.00301,0.00253,0.00215,0.00345,0.00301,0.0031,0.00235,0.00186,0.00331,0.00286,0.00393,0.00326,0.00336,0.00148,0.00426,0.00262,0.00246,0.0022,0.00176,0.00317,0.00231,0.00268,0.00206,0.00198,0.00274,0.00261,0.00278,0.00313,0.0024,0.003,0.00277,0.00223
0.003073333,0.002626667,0.002274167,0.003334167,0.003245,0.0034075,0.0025775,0.001598333,0.0034775,0.002806667,0.003611667,0.003549167,0.003724167,0.001396667,0.003850833,0.00279,,,,,,,,,,,,,,,,
