"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0,0.934658103,0.06534189695,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0.4264739619,0.5735260381,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0.9254144471,0,0.07458555294,0,0,0,0,0
"5",0.1376396351,0,0,0,0,0,0,0,0,0.654495291,0.2078650739,0,0,0,0,0
"6",0,0.2813105007,0.3794257798,0,0,0,0,0,0,0,0,0.3357406613,0.003523058201,0,0,0
"7",0,0.2961777699,0,0.3408000727,0,0,0,0,0,0,0,0.3511111149,0,0.01191104254,0,0
"8",0,0.4799628903,0,0,0.5200371097,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0.008880647319,0,0.9649207504,0,0,0,0,0,0.02619860231
"14",0,0,0,0,0,0,0,0.0209999958,0,0,0.9385000123,0,0,0,0,0.0404999919
"15",0,0,0,0,0,0,0,0,0.3445074599,0.3460812087,0.2960339943,0,0,0,0,0.01337733711
"16",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
