"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0,0.3671914961,0.6328085039,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.06310357404,0,0,0,0,0.07952341508,0.8573730109,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0.05900874016,0,0.3867230967,0,0.5542681631,0,0,0,0,0
"5",0.07749078635,0,0,0,0,0,0,0.03173424823,0,0.2714021803,0.6193727851,0,0,0,0,0
"6",0,0,0.6252319574,0,0,0,0,0,0,0,0,0.1808906052,0.1938774374,0,0,0
"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8",0,0.03198078821,0,0,0,0,0,0,0,0,0,0,0.4409590842,0.5270601276,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10",0,0,0.1514360313,0,0,0,0,0,0,0,0,0,0,0,0.8485639687,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"12",0,0,0,0,0,0,0.2841514484,0,0.3277700228,0,0,0,0,0,0,0.3880785288
"13",0,0,0,0,0,0,0,0,0,0.1752484192,0,0,0,0,0,0.8247515808
"14",0,0,0,0,0,0,0.2738393248,0,0,0,0.3431098415,0,0,0,0,0.3830508337
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
