"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0.05944514692,0.3720827624,0.5684720906,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0.01158300264,0.9131274802,0.07528951715,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0.584717608,0.415282392,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0.1002441078,0,0.8997558922,0,0,0,0,0
"5",0.05178726889,0,0,0,0,0,0,0.1005957105,0,0.3313474485,0.5162695722,0,0,0,0,0
"6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"12",0,0,0,0,0,0.003759397366,0.2378447405,0,0.3110275756,0,0,0,0,0,0,0.4473682865
"13",0,0,0,0,0,0.004390275335,0,0.02668005134,0,0.3667681324,0,0,0,0,0,0.6021615409
"14",0,0,0,0,0,0,0.2160879401,0.08726623557,0,0,0.3564855999,0,0,0,0,0.3401602244
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
