"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0.04878056712,0.582656232,0,0.3685632009,0,0,0,0,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"4",0.7146233157,0,0,0,0,0,0,0,0.2853766843,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6",0,0.2272393379,0.5188744354,0,0,0,0,0,0,0,0,0,0.2538862267,0,0,0
"7",0,0.4851816444,0,0.431166348,0,0,0,0,0,0,0,0.08365200765,0,0,0,0
"8",0,0.2448783435,0,0,0.4751213756,0,0,0,0,0,0,0,0.280000281,0,0,0
"9",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"11",0,0,0,0.452416338,0.5472537264,0,0,0,0,0,0,0,0,0,0.0003299356101,0
"12",0,0,0,0,0,0.4901439176,0,0,0.5098560824,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"14",0,0,0,0,0,0,0.03002414053,0.9220602935,0,0,0.0182109494,0,0,0,0,0.02970461658
"15",0,0,0,0,0,0,0,0,0.4274193548,0.5675030466,0,0,0,0,0,0.005077598566
"16",0,0,0,0,0,0,0,0,0,0,0,0.1457872968,0.8542127032,0,0,0
