"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.2126650661,0,0,0,0,0.2715882271,0.3616662982,0.1540804086,0,0,0,0,0,0,0,0
"3",0.1464604894,0,0,0,0,0.2880389624,0,0,0.2066723493,0.3588281989,0,0,0,0,0,0
"4",0.1350114542,0,0,0,0,0,0.386727527,0,0.1773457113,0,0.3009153075,0,0,0,0,0
"5",0.03565579988,0,0,0,0,0,0,0,0,0.4586709351,0.5056732651,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0.3215852743,0.6784147257,0,0,0
"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0.1723751063,0,0,0,0,0,0,0,0.5719170248,0.2557078689,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"12",0,0,0,0,0,0,0.2834074301,0,0,0,0,0,0,0,0,0.7165925699
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14",0,0,0,0,0,0,0.2964940265,0,0,0,0.1821648279,0,0,0,0,0.5213411455
"15",0,0,0,0,0,0,0,0,0.2255064695,0.2427255817,0.2453959679,0,0,0,0,0.2863719809
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
