"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0,0.631112,0,0.368888,0,0,0,0,0,0,0,0,0,0,0
"2",0.1317347628,0,0,0,0,0,0.8682652372,0,0,0,0,0,0,0,0,0
"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.3001336362,0,0,0,0,0,0.3823527996,0,0,0,0.3175135642,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6",0,0.04584527221,0.3381088825,0,0,0,0,0,0,0,0,0,0.6160458453,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"8",0,0.06035193224,0,0,0.2039721864,0,0,0,0,0,0,0,0.5164245738,0.2192513075,0,0
"9",0,0,0.4185009846,0.2585661071,0,0,0,0,0,0,0,0.3229329083,0,0,0,0
"10",0,0,0.1389585331,0,0,0,0,0,0,0,0,0,0.8610414669,0,0,0
"11",0,0,0,0,0.4666658667,0,0,0,0,0,0,0,0,0.5333341333,0,0
"12",0,0,0,0,0,0.09699778014,0.3198612655,0,0,0,0,0,0,0,0,0.5831409544
"13",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",0,0,0,0,0,0,0,0,0.001257461571,0.3376717926,0.3011765721,0,0,0,0,0.3598941738
"16",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
