"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0,0,0.481358716,0.518641284,0,0,0,0,0,0,0,0,0,0,0
"2",0.3187509228,0,0,0,0,0.4043746714,0.2272269889,0.049647417,0,0,0,0,0,0,0,0
"3",0.04061472694,0,0,0,0,0.2583241529,0,0,0.387486449,0.3135746712,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0.8155551585,0,0.1844448415,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0.7594917481,0.2405082519,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0.8494612903,0.1505387097,0,0,0
"7",0,0,0,0.4403038728,0,0,0,0,0,0,0,0.5596961272,0,0,0,0
"8",0,0,0,0,0.4173912485,0,0,0,0,0,0,0,0.4215719837,0.1610367678,0,0
"9",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"14",0,0,0,0,0,0,0.08305261021,0,0,0,0.4814586668,0,0,0,0,0.435488723
"15",0,0,0,0,0,0,0,0,0.2693082916,0.252350537,0.2454667568,0,0,0,0,0.2328744147
"16",0,0,0,0,0,0,0,0,0,0,0,0.7434449438,0.2565550562,0,0,0
