"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0,0.3455153608,0.1943516429,0.4601329963,0,0,0,0,0,0,0,0,0,0,0
"2",0.1882680171,0,0,0,0,0.4128491231,0,0.3988828598,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0.4708736733,0,0,0.02427096804,0.5048553587,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0.1476611445,0,0.8523388555,0,0,0,0,0
"5",0,0,0,0,0,0,0,0.1510569801,0,0.209969438,0.6389735818,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7",0,0.4359087587,0,0.5444650175,0,0,0,0,0,0,0,0.01053044461,0,0.009095779128,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"12",0,0,0,0,0,0.309640906,0,0,0.2870142929,0,0,0,0,0,0,0.4033448011
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14",0,0,0,0,0,0,0,0.290345068,0,0,0.3278727083,0,0,0,0,0.3817822238
"15",0,0,0,0,0,0,0,0,0.2137630774,0.2314135342,0.2567303866,0,0,0,0,0.2980930019
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
