"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0.2055973783,0.3724433778,0,0.4219592439,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0.3881860759,0.1402949367,0.4715189873,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4",0.4452710826,0,0,0,0,0,0.5547289174,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0.04632465984,0.9536753402,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0.275862069,0,0.724137931,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0.5774809365,0.4225190635,0,0
"9",0,0,0.4863243797,0.01025581844,0,0,0,0,0,0,0,0.5011855081,0,0,0.002234293786,0
"10",0,0,0.02818533557,0,0.1409310896,0,0,0,0,0,0,0,0.8308835748,0,0,0
"11",0,0,0,0.007426932971,0.4627575362,0,0,0,0,0,0,0,0,0.5298155309,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",0,0,0,0,0,0,0,0,0,0.4108437982,0,0,0,0,0,0.5891562018
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
