"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0.3763379579,0.3940844388,0.2295776033,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0.2201397847,0,0.7798602153,0,0,0,0,0,0,0
"5",0.09186737462,0,0,0,0,0,0,0.4717620312,0,0.4363705942,0,0,0,0,0,0
"6",0,0.2511855632,0.2560833318,0,0,0,0,0,0,0,0,0.2469097645,0.2458213404,0,0,0
"7",0,0.5344177894,0,0,0,0,0,0,0,0,0,0.4655822106,0,0,0,0
"8",0,0.558974359,0,0,0,0,0,0,0,0,0,0,0.441025641,0,0,0
"9",0,0,0.2804465349,0,0,0,0,0,0,0,0,0.1486031707,0,0,0.5709502944,0
"10",0,0,0.3063290159,0,0,0,0,0,0,0,0,0,0.2227846698,0,0.4708863144,0
"11",0,0,0,0.3272637965,0.196973455,0,0,0,0,0,0,0,0,0.04466042868,0.4311023198,0
"12",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"14",0,0,0,0,0,0,0.3482377336,0.3628021978,0,0,0,0,0,0,0,0.2889600686
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"16",0,0,0,0,0,0,0,0,0,0,0,0.288411762,0.28322835,0,0.4283598879,0
