"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.3403390232,0,0,0,0,0.3221241399,0.3375368369,0,0,0,0,0,0,0,0,0
"3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.138858749,0,0,0,0,0,0.1173311219,0,0.1022607496,0,0.6415493795,0,0,0,0,0
"5",0.2871466592,0,0,0,0,0,0,0,0,0,0.7128533408,0,0,0,0,0
"6",0,0,0.3340880336,0,0,0,0,0,0,0,0,0.6659119664,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"8",0,0.03312722019,0,0,0.9668727798,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0.2879880104,0,0,0,0,0,0,0,0,0.7120119896,0,0,0,0
"10",0,0,0.7857142857,0,0.2142857143,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"13",0,0,0,0,0,0.4775368302,0,0.01781572562,0,0.4068551051,0,0,0,0,0,0.0977923391
"14",0,0,0,0,0,0,0.4128722254,0.0150605356,0,0,0.4908650329,0,0,0,0,0.08120220614
"15",0,0,0,0,0,0,0,0,0.3158376234,0.255646927,0.3812508833,0,0,0,0,0.04726456632
"16",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
