0000,1000,0100,0010,0001,1100,1010,1001,0110,0101,0011,1110,1101,1011,0111,1111
0.00055,0.00068,0.00115,0.00049,0.00187,0.00203,0.00059,0.00047,0.00263,0.00216,0.00104,0.00058,0.00245,0.00075,0.00263,0.00286
0.00057,0.0006,0.00153,0.00046,0.0018,0.00169,0.00061,0.00057,0.00261,0.00231,0.00084,-0.00001,0.00221,0.00065,0.00267,0.00268
0.00078,0.0008,0.002,0.00052,0.00196,0.00179,0.00074,0.00083,0.00251,0.00205,0.00119,0.0005,0.00243,0.00084,0.00248,0.00259
0.00078,0.00092,0.00167,0.00057,0.00123,0.00198,0.00074,0.0008,0.00239,0.00198,0.00159,0.00042,0.00238,0.0008,0.00268,0.00246
0.00071,0.00082,0.00166,0.00074,0.00119,0.00181,0.00073,0.00072,0.00252,0.00228,0.00134,0.0005,0.00237,0.00082,0.0025,0.00265
0.00079,0.00075,0.00165,0.00074,0.00186,0.00219,0.00076,0.00078,0.00283,0.00189,0.00147,0.00078,0.00251,0.00069,0.00279,0.00268
0.00076,0.00103,0.00164,0.00056,0.00168,0.00207,0.00077,0.00081,0.00269,0.00107,0.00168,0.00054,0.00226,0.00078,0.00271,0.00262
0.00068,0.00086,0.0016,0.00046,0.00158,0.00196,0.0008,0.00116,0.00252,0.00185,0.0018,0.00088,0.0023,0.00067,0.00265,0.00249
0.00056,0.00079,0.00118,0.00074,0.00197,0.002,0.00043,0.00091,0.00246,0.00201,0.00147,0.00055,0.00233,0.00069,0.00242,0.00245
0.00086,0.00076,0.00155,0.00079,0.00177,0.0019,0.00086,0.00079,0.00227,0.00192,0.00145,0.00079,0.00244,0.00066,0.00294,0.00276
0.00078,0.00051,0.00116,0.00085,0.00181,0.00211,0.00115,0.00127,0.00243,0.00191,0.00125,0.0005,0.00235,0.00071,0.00242,0.00274
0.00041,0.0003,0.00146,0.00054,0.00156,0.00195,0.00105,0.00113,0.00231,0.00114,0.00087,-0.00001,0.00257,0.00023,0.00267,0.00248
