T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.0013,0.00292,0.00291,0.0015,0.00194,0.00228,0.00212,0.00185,0.0014,0.00232,0.00238,0.00248,0.00246,0.00003,0.00135,0.00268,0.0025,0.00251,0.00146,0.00309,0.00273,0.00244,0.00287,0.0021,0.00243,0.00171,0.00228,0.00359,0.00285,0.00217,0.00244,0.00225
0.00295,0.00242,0.00268,0.00215,0.00215,0.00187,0.00237,0.00206,0.00098,0.00182,0.00197,0.00315,0.00146,-0.00001,0.00242,0.00268,0.00111,0.00237,0.00249,0.0014,0.00278,0.00198,0.00233,0.00182,0.00295,0.00243,0.00258,0.00284,0.00309,0.00202,0.00253,0.00145
0.00307,0.00117,0.00294,0.00107,0.00203,0.00198,0.00156,0.00215,0.00091,0.00202,0.00191,0.00103,0.00228,0.00013,0.00244,0.00291,0.00269,0.00142,0.00257,0.00324,0.00307,0.00251,0.00187,0.00208,0.00258,0.00241,0.00253,0.00311,0.00329,0.00233,0.00212,0.0022
0.0029,0.00237,0.00297,0.00222,0.00256,0.00222,0.00154,0.00173,0.00242,0.00202,0.0016,0.00101,0.00142,-0.00001,0.00145,0.00158,0.00289,0.00288,0.00335,0.00284,0.00269,0.00224,0.00252,0.00235,0.00226,0.00227,0.00257,0.00242,0.00273,0.00222,0.00256,0.00233
0.0023,0.00231,0.00299,0.00211,0.00224,0.00191,0.00212,0.00162,0.00257,0.00203,0.00131,0.0024,0.00209,0.00011,0.00256,0.00213,0.00308,0.00306,0.00341,0.00284,0.00243,0.0019,0.00288,0.00202,0.00269,0.00119,0.0021,0.00331,0.00276,0.00234,0.0026,0.00137
0.00206,0.00097,0.00312,0.00239,0.00251,0.002,0.00227,0.00214,0.00274,0.00145,0.00218,0.00271,0.00247,0.00012,0.0024,0.00145,0.00323,0.00302,0.00138,0.00251,0.00272,0.00114,0.00265,0.00228,0.00272,0.00195,0.00241,0.00249,0.00296,0.00269,0.00261,0.00261
0.00141,0.00139,0.00212,0.00297,0.0024,0.00213,0.00276,0.00194,0.00282,0.00231,0.00261,0.00274,0.00142,0.00003,0.00308,0.00257,0.00316,0.00306,0.00334,0.00314,0.00319,0.00215,0.0025,0.00228,0.00276,0.00238,0.0026,0.00299,0.00301,0.00213,0.00274,0.00265
0.00266,0.00139,0.00206,0.00134,0.00231,0.00223,0.00282,0.00111,0.00318,0.00238,0.00224,0.00299,0.00289,0.00001,0.00243,0.00372,0.003,0.00316,0.00301,0.00272,0.00318,0.00245,0.00313,0.00211,0.00281,0.00222,0.0028,0.003,0.00305,0.0026,0.00284,0.00198
0.00145,0.00246,0.00206,0.00328,0.00272,0.00214,0.00261,0.00196,0.00278,0.00138,0.00226,0.00306,0.0023,-0.00003,0.00285,0.00229,0.00294,0.0031,0.00316,0.00243,0.0033,0.00231,0.00238,0.00201,0.00285,0.00251,0.00284,0.00312,0.00276,0.00237,0.00247,0.00292
0.00261,0.00243,0.0021,0.0022,0.00256,0.00128,0.00314,0.00214,0.00331,0.00195,0.00252,0.00285,0.00309,0.00013,0.00268,0.00369,0.00311,0.00311,0.0026,0.00299,0.00298,0.00246,0.00326,0.00234,0.00303,0.00273,0.00305,0.00316,0.00327,0.00289,0.00291,0.00292
0.00209,0.00227,0.00307,0.00244,0.00296,0.0022,0.00297,0.00206,0.0027,0.00252,0.00122,0.00292,0.00357,-0.00002,0.00283,0.00211,0.0027,0.00306,0.00322,0.00331,0.00311,0.00218,0.00258,0.00207,0.0022,0.00229,0.00231,0.00361,0.0032,0.00238,0.0028,0.0026
0.00258,0.00144,0.00279,0.00256,0.00228,0.00202,0.00207,0.00151,0.00234,0.00241,0.00268,0.00289,0.0027,-0.00003,0.00153,0.00275,0.00302,0.00322,0.0033,0.00312,0.00353,0.00296,0.00338,0.00247,0.00355,0.0031,0.00266,0.00365,0.00311,0.00276,0.00344,0.00348
0.002281667,0.001961667,0.002650833,0.002185833,0.002388333,0.002021667,0.0023625,0.001855833,0.002345833,0.002050833,0.002073333,0.002519167,0.002345833,3.83333E-05,0.002335,0.002546667,,,,,,,,,,,,,,,,
