,0000,1000,0100,0010,0001,1100,1010,1001,0110,0101,0011,1110,1101,1011,0111,1111
0000,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1000,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0100,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
0010,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0001,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
1100,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1010,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1001,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0110,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
0101,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
0011,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
1110,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
1101,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
1011,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
0111,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
1111,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
