T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00104,0.0013,0.00234,0.00013,0.00255,0.00138,0.00011,0.00269,0.00004,0.00192,0.00328,0.00006,0.00246,-0.00002,0.00007,0.0001,0.00241,0.0029,0.00211,0.00091,0.00256,0.00241,0.00214,0.00191,0.00125,0.00198,0.00273,0.00311,0.00127,0.00252,0.0025,0.00146
0.00277,0.00253,0.00245,0.00018,0.00244,0.00237,0.00009,0.00207,0.00012,0.00193,0.00256,-0.00002,0.00226,-0.00002,0.00007,0.00008,0.00257,0.00253,0.00256,0.00225,0.00279,0.00283,0.00106,0.002,0.00233,0.00106,0.00268,0.00328,0.00291,0.00316,0.00275,0.00248
0.00114,0.00299,0.00254,0.0001,0.00245,0.00235,0.00011,0.00202,0.00009,0.00171,0.00262,0.00003,0.00098,0.00007,0.00011,0.00018,0.00223,0.00219,0.00284,0.00295,0.00264,0.00281,0.00289,0.00209,0.00254,0.00115,0.00278,0.00273,0.0027,0.00248,0.00282,0.00264
0.00212,0.00275,0.00134,0.00011,0.00251,0.00206,0.00017,0.00201,0.00008,0.00181,0.00133,0.00011,0.00277,0.00006,0.00019,0.00011,0.00148,0.00217,0.00288,0.00278,0.00264,0.00307,0.00219,0.00235,0.00227,0.0019,0.00236,0.00284,0.00276,0.00292,0.00239,0.00254
0.00104,0.00323,0.00131,0.0001,0.00159,0.0022,0.00017,0.00121,0.00012,0.00187,0.0028,0.0001,0.00277,-0.00003,0.00016,0.00017,0.00241,0.00208,0.0027,0.00245,0.00244,0.003,0.00193,0.00163,0.00246,0.00224,0.00198,0.0027,0.00246,0.00336,0.00225,0.00241
0.00291,0.0032,0.00275,0.00013,0.00316,0.00228,-0.00003,0.00219,0.00022,0.00195,0.00291,0.00011,0.00282,0.00004,0.00015,0.00016,0.00212,0.00209,0.00271,0.00248,0.00277,0.00301,0.00262,0.00111,0.00223,0.002,0.00214,0.0027,0.00289,0.00306,0.00284,0.0028
0.0036,0.00318,0.00308,0.00008,0.00286,0.00323,0.00017,0.0021,-0.00001,0.00196,0.00281,0.00023,0.00305,0.00014,0.00015,0.00011,0.0022,0.00235,0.00292,0.00283,0.00298,0.00331,0.00245,0.00236,0.00131,0.00118,0.00248,0.00256,0.00276,0.00278,0.0028,0.00275
0.00283,0.00283,0.00248,0.00006,0.0033,0.00136,0.00011,0.00197,0.00011,0.00118,0.00334,0,0.00276,-0.00002,0.00013,0.00017,0.00265,0.00317,0.00279,0.00109,0.00339,0.00318,0.00286,0.0011,0.00233,0.00119,0.00205,0.00287,0.00275,0.0027,0.00271,0.00326
0.00282,0.00266,0.003,0.00012,0.00293,0.00317,0.00017,0.00195,-0.00002,0.00175,0.00325,0.00003,0.00305,0.00018,0.0001,0.00006,0.00236,0.00293,0.00269,0.00217,0.00346,0.00254,0.00268,0.00208,0.00231,0.00207,0.00271,0.00265,0.00249,0.00322,0.00243,0.00221
0.00279,0.0031,0.00292,0.0001,0.00316,0.00268,0.00018,0.00197,0.00009,0.00119,0.00283,0.00001,0.00346,0.00007,0.00018,-0.00001,0.00223,0.00243,0.00232,0.00276,0.00296,0.00296,0.00333,0.00277,0.00241,0.00119,0.00295,0.00294,0.00323,0.00286,0.00262,0.00244
0.00273,0.00304,0.0025,0.00018,0.00231,0.00221,0.00018,0.00195,0.00018,0.00227,0.00309,0.00017,0.00309,-0.00003,0.00017,0.00011,0.00304,0.00114,0.00255,0.00243,0.00273,0.00215,0.00146,0.00115,0.00229,0.00203,0.00244,0.00283,0.00243,0.00255,0.00283,0.00262
0.00101,0.00087,0.00201,0.00007,0.00252,0.00236,0.00021,0.00189,0.00007,0.00221,0.00325,-0.00002,0.00266,0,0.00017,0.00017,0.00332,0.00339,0.00269,0.00335,0.00333,0.003,0.00328,0.00259,0.00313,0.00252,0.00356,0.00363,0.00346,0.00355,0.00273,0.00304
0.002233333,0.00264,0.002393333,0.000113333,0.002648333,0.002304167,0.000136667,0.002001667,9.08333E-05,0.0018125,0.002839167,0.0000675,0.0026775,3.66667E-05,0.0001375,0.0001175,,,,,,,,,,,,,,,,
