T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00312,0.00212,0.00273,0.00293,0.00252,0.00231,0.00259,0.00286,0.00263,0.00238,0.00278,0.00232,0.00231,0.00265,0.00288,0.00273,0.0028,0.00273,0.00239,0.00285,0.00212,0.0029,0.00246,0.00262,0.00298,0.00286,0.00303,0.00277,0.00322,0.00339,0.00306,0.00296
0.00255,0.00233,0.00239,0.00288,0.00258,0.00256,0.00256,0.00301,0.0028,0.00139,0.00224,0.0028,0.00274,0.00335,0.00276,0.00257,0.00302,0.00309,0.00335,0.00252,0.00304,0.00263,0.00297,0.00273,0.00317,0.00303,0.00313,0.00277,0.00343,0.0034,0.00301,0.003
0.00226,0.00142,0.00243,0.003,0.00248,0.00273,0.00295,0.0027,0.00285,0.00285,0.00248,0.00284,0.00244,0.00317,0.00283,0.00275,0.00306,0.00307,0.00331,0.00262,0.00258,0.00314,0.00322,0.0032,0.00313,0.00302,0.00331,0.00266,0.00348,0.00333,0.00288,0.00337
0.0022,0.0024,0.00308,0.00298,0.00255,0.00285,0.00247,0.00286,0.00269,0.00296,0.0028,0.00279,0.00276,0.00313,0.00251,0.00292,0.00306,0.00306,0.00305,0.00283,0.00257,0.00252,0.00297,0.0031,0.00288,0.00267,0.00308,0.00292,0.00296,0.00312,0.00255,0.00309
0.0024,0.00195,0.00257,0.00276,0.00283,0.00297,0.003,0.00235,0.00268,0.00257,0.00285,0.00268,0.00301,0.00324,0.00262,0.00304,0.00304,0.00308,0.00309,0.00287,0.00241,0.00195,0.00297,0.00304,0.00304,0.00304,0.00319,0.00301,0.00307,0.003,0.003,0.00333
0.00256,0.00256,0.00274,0.00242,0.0027,0.00262,0.00294,0.00246,0.0028,0.00256,0.00295,0.0027,0.003,0.00316,0.0023,0.00307,0.00317,0.00318,0.00307,0.0029,0.00274,0.00267,0.00298,0.00315,0.0028,0.00305,0.0032,0.00299,0.0033,0.00283,0.00335,0.00314
0.00269,0.00279,0.00258,0.00269,0.00216,0.00289,0.0028,0.00269,0.00246,0.00298,0.00268,0.00235,0.00296,0.00292,0.00203,0.00283,0.00305,0.00321,0.00313,0.00271,0.00286,0.00254,0.00307,0.00299,0.0031,0.00304,0.00314,0.00306,0.0032,0.0026,0.00266,0.00331
0.0027,0.00263,0.0029,0.00279,0.00244,0.00263,0.00286,0.00245,0.00236,0.00267,0.00294,0.00282,0.00295,0.0025,0.0026,0.00299,0.00301,0.00327,0.00317,0.00272,0.00291,0.00316,0.00327,0.00308,0.0032,0.00323,0.00312,0.0031,0.00326,0.00264,0.00337,0.00316
0.00279,0.00257,0.00256,0.00246,0.00247,0.00268,0.00251,0.00258,0.00267,0.00294,0.00288,0.00256,0.00302,0.00288,0.00304,0.00296,0.00246,0.00316,0.00327,0.00305,0.00295,0.00326,0.00308,0.00304,0.00305,0.00318,0.0033,0.00315,0.00323,0.00315,0.00324,0.00327
0.00284,0.00265,0.00294,0.00244,0.00221,0.00254,0.00229,0.00272,0.00268,0.00276,0.00243,0.00281,0.00266,0.00249,0.00269,0.00282,0.00306,0.00297,0.00321,0.00297,0.00297,0.00283,0.00319,0.00314,0.00318,0.00312,0.00317,0.00306,0.00322,0.00293,0.00324,0.00315
0.00299,0.00236,0.00322,0.00271,0.00134,0.00258,0.00254,0.00295,0.00306,0.00305,0.00269,0.00305,0.00286,0.00304,0.00291,0.00295,0.00315,0.00318,0.00296,0.00292,0.00286,0.00315,0.0032,0.00301,0.00315,0.00319,0.0032,0.00308,0.00322,0.00315,0.00339,0.00321
0.00279,0.00217,0.00307,0.00221,0.00203,0.00275,0.00274,0.0028,0.00299,0.00292,0.0026,0.00274,0.00252,0.00292,0.00285,0.00283,0.00301,0.00309,0.00339,0.00301,0.00271,0.00315,0.00307,0.00313,0.0031,0.00316,0.00326,0.0031,0.00322,0.00274,0.00319,0.00316
0.0026575,0.002329167,0.0027675,0.002689167,0.002359167,0.002675833,0.0026875,0.0027025,0.0027225,0.002669167,0.002693333,0.002705,0.002769167,0.002954167,0.002668333,0.002871667,,,,,,,,,,,,,,,,
