T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00106,0.00133,0.00238,0.0002,0.00233,0.00308,0.00274,0.0025,0.00008,0.00276,0.00018,0.00129,0.00282,0.0001,0.00255,0.00331,0.00231,0.00217,0.00241,0.00245,0.00239,0.0027,0.00253,0.0027,0.00314,0.00228,0.0027,0.00306,0.00297,0.0024,0.0029,0.00298
0.00188,0.00102,0.0027,0.00006,0.0027,0.00245,0.00245,0.00283,0.00006,0.00188,0.00004,0.0027,0.00316,0.00017,0.00264,0.0034,0.00126,0.0028,0.0023,0.00233,0.00268,0.00272,0.00238,0.00248,0.00273,0.00261,0.00285,0.003,0.00272,0.0026,0.00322,0.00305
0.00254,0.00272,0.00266,0.00016,0.00293,0.00282,0.00235,0.00276,0.00009,0.00274,0.00003,0.00268,0.00324,0.00011,0.00271,0.00334,0.00245,0.00284,0.002,0.00239,0.00312,0.00304,0.00279,0.00319,0.00273,0.00235,0.00345,0.00304,0.00292,0.00256,0.00336,0.00308
0.00099,0.00275,0.00124,0.00011,0.00261,0.00258,0.00255,0.00282,0,0.00277,0.00031,0.00239,0.00342,0.00013,0.00162,0.00342,0.00235,0.00252,0.00249,0.00131,0.00284,0.00263,0.0024,0.00305,0.00246,0.00269,0.0032,0.00325,0.00316,0.00036,0.00298,0.00289
0.00143,0.00152,0.00257,0.00009,0.0024,0.001,0.0024,0.00252,0.00011,0.00227,0.00002,0.00265,0.00289,0.00007,0.00267,0.00349,0.00234,0.00258,0.0023,0.0024,0.00314,0.00303,0.00311,0.00242,0.0029,0.00252,0.00294,0.00277,0.00277,0.00343,0.00298,0.0029
0.00247,0.00257,0.00264,0.00018,0.00243,0.00259,0.0015,0.00071,0.00011,0.00233,0.00005,0.00269,0.00321,0.0001,0.00286,0.0036,0.00256,0.00257,0.00245,0.00134,0.0029,0.00303,0.0024,0.00258,0.00279,0.00272,0.0031,0.00283,0.00334,0.00274,0.00284,0.00281
0.00281,0.00247,0.00267,0.00019,0.00282,0.00251,0.00253,0.00302,0.00011,0.00233,0.00017,0.00276,0.00289,0.00013,0.00359,0.00369,0.00245,0.00269,0.00224,0.00142,0.00289,0.00333,0.00248,0.00253,0.00279,0.00285,0.00322,0.00285,0.00274,0.00256,0.00311,0.00281
0.00244,0.00246,0.00256,0.00008,0.003,0.00272,0.00242,0.00252,0.0001,0.00252,0.00004,0.00265,0.00289,0.00004,0.00344,0.00342,0.00135,0.0026,0.00236,0.00248,0.00264,0.00323,0.0028,0.00282,0.00281,0.00285,0.00309,0.00309,0.003,0.00277,0.00315,0.00286
0.00208,0.00237,0.00263,0.00026,0.00264,0.00264,0.00147,0.00274,0.00011,0.00206,0.00004,0.00278,0.00262,0.00006,0.00299,0.00355,0.00137,0.00249,0.00123,0.00256,0.00297,0.0032,0.00256,0.0027,0.00292,0.00304,0.0033,0.00303,0.00292,0.0026,0.00336,0.00298
0.00224,0.00228,0.0026,0.00009,0.00264,0.00273,0.00259,0.00291,0.00004,0.00259,0.00004,0.00266,0.00297,-0.00001,0.00326,0.0038,0.00221,0.00139,0.00124,0.00273,0.0023,0.00291,0.00145,0.00289,0.00291,0.00279,0.00336,0.00312,0.00299,0.00257,0.00342,0.00317
0.00136,0.00251,0.00255,0.00006,0.00242,0.00248,0.00248,0.00283,0.00008,0.00252,0.00017,0.00265,0.00314,0.00011,0.00318,0.0034,0.00258,0.00261,0.00119,0.00258,0.00154,0.00293,0.00294,0.0027,0.00273,0.00253,0.0031,0.00301,0.00284,0.00225,0.00333,0.00325
0.00125,0.00237,0.00227,0.00012,0.00147,0.00245,0.00222,0.00268,0.00011,0.00247,0.00004,0.00244,0.00277,0.00012,0.00312,0.00302,0.00256,0.00271,0.00123,0.0027,0.00271,0.00284,0.00251,0.00228,0.00212,0.00286,0.00297,0.00285,0.00244,0.00259,0.00271,0.00317
0.001879167,0.0021975,0.002455833,0.000133333,0.0025325,0.002504167,0.002308333,0.00257,8.33333E-05,0.002436667,9.41667E-05,0.002528333,0.003001667,9.41667E-05,0.002885833,0.003453333,,,,,,,,,,,,,,,,
