T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.0023,0.00182,0.00225,0.00215,0.00198,0.00261,0.00216,0.0023,0.00226,0.00154,0.0022,0.0017,0.00195,0.0001,0.00153,0.00246,0.00326,0.00296,0.00289,0.00251,0.0028,0.00319,0.00281,0.00277,0.0032,0.00284,0.00393,0.00346,0.00332,0.00343,0.00316,0.00321
0.00228,0.00169,0.00226,0.00228,0.0021,0.00228,0.00196,0.00178,0.00244,0.00146,0.002,0.00132,0.00196,0.00012,0.00162,0.00204,0.00144,0.00309,0.00361,0.00245,0.00262,0.00318,0.00301,0.00288,0.00361,0.00319,0.00355,0.00355,0.00355,0.0029,0.00291,0.00405
0.00261,0.00179,0.00209,0.00216,0.00196,0.00247,0.00205,0.00215,0.00228,0.00153,0.00205,0.00148,0.00186,0.00014,0.00146,0.00209,0.00319,0.00311,0.00311,0.00237,0.00316,0.00336,0.00336,0.00267,0.00295,0.00319,0.00365,0.00306,0.00333,0.00382,0.00395,0.00396
0.00253,0.00181,0.0022,0.00251,0.00202,0.00227,0.00224,0.00206,0.00214,0.00136,0.00195,0.0016,0.00193,-0.00001,0.00149,0.00225,0.00321,0.00284,0.00296,0.00311,0.0031,0.00331,0.00272,0.0028,0.00317,0.00339,0.00345,0.00323,0.00319,0.00354,0.00272,0.00359
0.00237,0.00182,0.00268,0.00242,0.00252,0.00223,0.00232,0.00213,0.00241,0.00161,0.00216,0.00148,0.00208,0.00001,0.00115,0.0024,0.00313,0.00298,0.00234,0.00322,0.00301,0.00341,0.00266,0.00258,0.0032,0.00326,0.00333,0.00339,0.00341,0.00318,0.00296,0.00363
0.0024,0.00166,0.00252,0.00249,0.00242,0.0025,0.00245,0.00229,0.0024,0.00139,0.00228,0.00156,0.00191,0.00014,0.00116,0.00201,0.00242,0.00298,0.0027,0.00257,0.00299,0.00331,0.00304,0.00287,0.00334,0.00268,0.00344,0.00356,0.00313,0.00337,0.00323,0.00396
0.00211,0.00159,0.00221,0.00223,0.00228,0.00243,0.00239,0.00227,0.00135,0.00155,0.00208,0.00139,0.00214,-0.00001,0.00155,0.00244,0.00267,0.0033,0.00316,0.00253,0.00305,0.00347,0.00284,0.00272,0.00335,0.00322,0.0036,0.0033,0.00327,0.00326,0.00248,0.00376
0.00246,0.00156,0.00224,0.0024,0.00224,0.00245,0.00239,0.00239,0.0024,0.00172,0.00224,0.00155,0.00232,-0.00001,0.00128,0.0023,0.00261,0.00342,0.00303,0.00345,0.00323,0.00338,0.00297,0.00276,0.00368,0.0035,0.00336,0.0034,0.00348,0.0034,0.00303,0.00377
0.0023,0.00186,0.00231,0.00221,0.00226,0.00248,0.00217,0.00244,0.00224,0.00161,0.00229,0.00136,0.00147,0.00014,0.00123,0.00233,0.00264,0.00316,0.00313,0.00257,0.00264,0.00331,0.00289,0.00287,0.0037,0.00345,0.00353,0.00298,0.00339,0.00308,0.00323,0.00415
0.00245,0.00171,0.00232,0.0021,0.00228,0.0025,0.00223,0.00246,0.00222,0.0017,0.00217,0.0015,0.00228,0.00007,0.00158,0.0019,0.00283,0.00341,0.00318,0.00312,0.00345,0.00324,0.00309,0.00298,0.00335,0.00337,0.00345,0.00337,0.00336,0.00355,0.00414,0.0036
0.00238,0.0018,0.0024,0.00257,0.00248,0.00252,0.00227,0.00237,0.00219,0.00175,0.00218,0.00157,0.00243,0.00001,0.00148,0.00233,0.00313,0.00327,0.00324,0.00339,0.00321,0.0033,0.00324,0.00303,0.00311,0.0034,0.00288,0.00305,0.00353,0.00311,0.00286,0.00318
0.00225,0.00153,0.00224,0.00201,0.00223,0.00221,0.00234,0.00237,0.00245,0.00161,0.00198,0.00136,0.00228,0.00013,0.00146,0.00238,0.00301,0.00317,0.00329,0.00293,0.00329,0.00308,0.00276,0.00292,0.00346,0.00349,0.00276,0.00301,0.00343,0.00253,0.00348,0.00387
0.00237,0.00172,0.00231,0.002294167,0.002230833,0.0024125,0.0022475,0.002250833,0.002231667,0.001569167,0.002131667,0.001489167,0.002050833,6.91667E-05,0.001415833,0.002244167,,,,,,,,,,,,,,,,
