T1,M,E,G,N,ME,GM,MN,GE,NE,GN,MEG,MEN,GNE,GNM,T50,T1c,Mc,Ec,Gc,Nc,MEc ,GMc,MNc,GEc,NEc,GNc,MEGc,MENc,GNEc,GNMc,T50c
0.00075,0.00087,0.00157,0.00037,0.00163,0.00165,0.00131,0.00145,0.00006,0.00097,0.00139,0.00072,0.00192,0.00012,0.00136,0.00179,0.00213,0.00224,0.00235,0.00297,0.003,0.00222,0.00229,0.00123,0.00264,0.00274,0.00213,0.00267,0.00253,0.00287,0.00283,0.00196
0.00162,0.00169,0.00164,0.00087,0.0017,0.00148,0.00156,0.0017,0.00013,0.00185,0.00152,0.00145,0.00117,0.00013,0.00157,0.00187,0.00239,0.00237,0.00192,0.00135,0.00279,0.00246,0.00225,0.00267,0.0023,0.00226,0.00252,0.00262,0.00204,0.00288,0.00271,0.00206
0.00155,0.00168,0.00076,0.00098,0.00095,0.00167,0.00152,0.00165,0.00013,0.00109,0.00149,0.0014,0.00255,0,0.00185,0.00181,0.00246,0.00254,0.0024,0.00251,0.00228,0.0026,0.00271,0.00222,0.0024,0.00301,0.00253,0.00321,0.00234,0.00319,0.00302,0.00216
0.00219,0.0008,0.00172,0.00106,0.00157,0.00082,0.00153,0.00159,0.00009,0.00117,0.00145,0.00168,0.0022,0,0.0017,0.00169,0.00259,0.00238,0.00233,0.00223,0.00264,0.0024,0.00253,0.00257,0.00224,0.0026,0.00227,0.00247,0.00233,0.00301,0.00306,0.00208
0.00194,0.0015,0.00188,0.00088,0.00172,0.00074,0.00141,0.0008,-0.00001,0.00111,0.00164,0.00158,0.00212,0.00013,0.0007,0.00173,0.00124,0.00203,0.00225,0.00268,0.00271,0.00246,0.00246,0.00249,0.00223,0.00278,0.00272,0.00297,0.00239,0.00123,0.00293,0.00183
0.00095,0.00076,0.00197,0.00125,0.00154,0.00074,0.00157,0.00155,0.00008,0.00172,0.00105,0.00143,0.0022,-0.00001,0.00155,0.00177,0.00239,0.00224,0.00195,0.00212,0.00246,0.00286,0.00252,0.00241,0.00247,0.00262,0.00278,0.00251,0.00244,0.00316,0.00286,0.00211
0.00207,0.00081,0.00165,0.00152,0.00171,0.00181,0.00161,0.00086,0,0.00211,0.00135,0.00127,0.00228,0.00013,0.00198,0.0015,0.00231,0.00225,0.00247,0.00278,0.00297,0.00253,0.00256,0.00231,0.00234,0.00222,0.0027,0.00265,0.00265,0.00262,0.00306,0.00196
0.00079,0.00174,0.00187,0.00143,0.00189,0.00178,0.00158,0.00161,0.00008,0.00186,0.00139,0.00093,0.00181,0.00002,0.0018,0.00171,0.00242,0.00295,0.00248,0.00276,0.00294,0.0026,0.00285,0.00248,0.00308,0.00242,0.00231,0.00254,0.00225,0.00315,0.00305,0.00208
0.00084,0.00199,0.00207,0.0009,0.00173,0.00185,0.00162,0.00165,0.00004,0.00174,0.00153,0.00144,0.00078,0.00001,0.00139,0.00175,0.00233,0.00228,0.00287,0.0026,0.00297,0.00267,0.00277,0.00248,0.00244,0.00267,0.00251,0.00204,0.00288,0.00314,0.00335,0.00208
0.00086,0.00177,0.00083,0.00142,0.00096,0.00168,0.00157,0.00088,0.00009,0.00193,0.00143,0.00069,0.001,0.00014,0.00173,0.00191,0.00249,0.00234,0.00258,0.00289,0.00285,0.00232,0.00273,0.00263,0.00256,0.00231,0.0026,0.00249,0.00228,0.00324,0.00329,0.00222
0.00179,0.00175,0.00199,0.00141,0.00179,0.00153,0.00163,0.00169,0.00011,0.00187,0.00134,0.00161,0.00259,0.00013,0.00164,0.00157,0.00245,0.00216,0.0013,0.00242,0.0027,0.00128,0.00264,0.00262,0.00255,0.00226,0.00241,0.00214,0.00271,0.0032,0.00326,0.00203
0.00187,0.00164,0.00211,0.00064,0.00169,0.00077,0.00154,0.00078,0.00008,0.00208,0.0019,0.00148,0.00235,0.00001,0.00181,0.00163,0.00198,0.00236,0.00243,0.00227,0.00261,0.00274,0.00277,0.00263,0.00224,0.00232,0.00271,0.0025,0.00286,0.0034,0.00316,0.00199
0.001435,0.001416667,0.001671667,0.001060833,0.001573333,0.001376667,0.0015375,0.001350833,7.33E-05,0.001625,0.001456667,0.001306667,0.001914167,0.0000675,0.00159,0.0017275,,,,,,,,,,,,,,,,
